,links,Title,Uploaded By,Length,Date Uploaded,Description,length
878,['https://freesound.org/people/Yacob_l/sounds/316694/'],['Summer Rain in Aberteifi'],['Yacob_l'],,"['July 17th, 2015']",[''],['-01:20']
879,['https://freesound.org/people/SAUL92/sounds/365016/'],['SONIDO_DEL_VIENTO.wav'],['SAUL92'],,"['October 26th, 2016']",[''],['-00:18']
880,['https://freesound.org/people/avreference/sounds/489893/'],['Rainstick'],['avreference'],,"['October 25th, 2019']",[''],['-00:40']
881,['https://freesound.org/people/itinerantmonk108/sounds/565231/'],['Front Steps city rain.wav'],['itinerantmonk108'],,"['March 29th, 2021']",[''],['-01:06']
882,['https://freesound.org/people/Mrthenoronha/sounds/563894/'],['Thunder and Rain 1.wav'],['Mrthenoronha'],,"['March 18th, 2021']",[''],['-00:22']
883,['https://freesound.org/people/piwilliwillski/sounds/564987/'],['THS04.wav'],['piwilliwillski'],,"['March 27th, 2021']",[''],['-00:17']
884,['https://freesound.org/people/Mrthenoronha/sounds/563893/'],['Thunder and Rain 2.wav'],['Mrthenoronha'],,"['March 18th, 2021']",[''],['-00:22']
885,['https://freesound.org/people/ivolipa/sounds/360340/'],['thunderstorm_2.wav'],['ivolipa'],,"['September 19th, 2016']",[''],['-00:20']
886,['https://freesound.org/people/ivolipa/sounds/360341/'],['thunderstorm_1.wav'],['ivolipa'],,"['September 19th, 2016']",['Thunderstorm in the night. A lots of rain and thunders.'],['-00:53']
887,['https://freesound.org/people/richists/sounds/353089/'],['Soft rain in Berlin with...'],['richists'],,"['August 30th, 2016']",[''],['-02:11']
888,['https://freesound.org/people/elissa_davis3/sounds/354018/'],['Davis.wav'],['elissa_davis3'],,"['September 12th, 2016']",[''],['-02:36']
889,['https://freesound.org/people/csengeri/sounds/359180/'],['17th September 2016 thun...'],['csengeri'],,"['September 18th, 2016']",[''],['-06:49']
890,['https://freesound.org/people/ivolipa/sounds/360342/'],['thunderstorm_4.wav'],['ivolipa'],,"['September 19th, 2016']",[''],['-02:09']
891,['https://freesound.org/people/morvei01/sounds/352850/'],['Heavy_Rain_Distant_Thund...'],['morvei01'],,"['August 26th, 2016']",[''],['-04:08']
892,['https://freesound.org/people/dnlburnett/sounds/360776/'],['Ambience windy street wi...'],['dnlburnett'],,"['September 25th, 2016']",[''],['-02:57']
893,['https://freesound.org/people/kangyoutj/sounds/353274/'],['thunders_and_heavy_rain.ogg'],['kangyoutj'],,"['September 3rd, 2016']",[''],['-07:04']
894,['https://freesound.org/people/elissa_davis3/sounds/355033/'],['Davis 1.wav'],['elissa_davis3'],,"['September 14th, 2016']",[''],['-02:58']
895,['https://freesound.org/people/ivolipa/sounds/360339/'],['thunderstorm_3.wav'],['ivolipa'],,"['September 19th, 2016']",[''],['-01:35']
896,['https://freesound.org/people/dnlburnett/sounds/360775/'],['Ambience Urban park even...'],['dnlburnett'],,"['September 25th, 2016']",[''],['-02:22']
897,['https://freesound.org/people/millingmadly/sounds/349053/'],['rain.wav'],['millingmadly'],,"['July 3rd, 2016']",[''],['-02:01']
898,['https://freesound.org/people/zavoronok/sounds/349488/'],['Start rain Tallinn tasca...'],['zavoronok'],,"['July 10th, 2016']",[''],['-01:37']
899,['https://freesound.org/people/corkyburger/sounds/352281/'],['Hail Stones hitting tin'],['corkyburger'],,"['August 18th, 2016']",[''],['-01:18']
900,['https://freesound.org/people/7h3_lark/sounds/268578/'],['Rain Thunder & Water (St...'],['7h3_lark'],,"['March 29th, 2015']",[''],['-00:30']
901,['https://freesound.org/people/lextrack/sounds/268219/'],['Downpour.mp3'],['lextrack'],,"['March 27th, 2015']","[""it's raining in my city and decided to record""]",['-00:57']
902,['https://freesound.org/people/zachrau/sounds/268710/'],['Storm on roofgarden'],['zachrau'],,"['March 31st, 2015']",[''],['-06:19']
903,['https://freesound.org/people/jaffa1970/sounds/266927/'],['Rain and Thunder.wav'],['jaffa1970'],,"['March 14th, 2015']",[''],['-00:53']
904,['https://freesound.org/people/pcpmeltsfaces@gmail.com/sounds/271011/'],['Rain on Van Roof'],['pcpmeltsfaces@gmail.com'],,"['April 17th, 2015']",[''],['-01:09']
905,['https://freesound.org/people/Xoomtell/sounds/451234/'],"['Thunder, silent rain and...']",['Xoomtell'],,"['December 7th, 2018']",[''],['-05:34']
906,['https://freesound.org/people/Martineerok/sounds/264824/'],['Rain in showers'],['Martineerok'],,"['February 22nd, 2015']",[''],['-01:05']
907,['https://freesound.org/people/contramundum/sounds/266435/'],['let it rain thunder'],['contramundum'],,"['March 9th, 2015']",[''],['-14:00']
908,['https://freesound.org/people/hifijohn/sounds/242586/'],['thunder.wav'],['hifijohn'],,"['July 15th, 2014']",[''],['-00:16']
909,['https://freesound.org/people/Voicians/sounds/348354/'],['Rain & thunder (light).wav'],['Voicians'],,"['June 25th, 2016']",[''],['-01:44']
910,['https://freesound.org/people/pmstrain/sounds/348805/'],['Rain and Thunder.mp3'],['pmstrain'],,"['June 30th, 2016']",[''],['-06:24']
911,['https://freesound.org/people/Cloud-10/sounds/562829/'],['Rain & Thunder - 01.mp3'],['Cloud-10'],,"['March 10th, 2021']",[''],['-00:34']
912,['https://freesound.org/people/SamuelGremaud/sounds/546522/'],['THUNDERSTORM - 3'],['SamuelGremaud'],,"['November 29th, 2020']",[''],['-01:15']
913,['https://freesound.org/people/SonicStash/sounds/561408/'],['rain recorded from windo...'],['SonicStash'],,"['March 3rd, 2021']",[''],['-06:28']
914,['https://freesound.org/people/szegvari/sounds/543541/'],['Rain Tomb Soundscape'],['szegvari'],,"['November 8th, 2020']",[''],['-01:09']
915,['https://freesound.org/people/y_ltr27/sounds/556403/'],['Smooth rain (stereo).WAV'],['y_ltr27'],,"['February 1st, 2021']",[''],['-00:30']
916,['https://freesound.org/people/y_ltr27/sounds/556404/'],['Smooth rain (fake stereo...'],['y_ltr27'],,"['February 1st, 2021']","[""Sound of smooth rain fall at night It is a fake stereo ; it's the sum of two differents part …""]",['-00:24']
917,['https://freesound.org/people/DBlover/sounds/483580/'],['Rain on Concrete'],['DBlover'],,"['September 7th, 2019']",[''],['-01:50']
918,['https://freesound.org/people/SofieHolmark/sounds/556520/'],['Rain.wav'],['SofieHolmark'],,"['February 2nd, 2021']",[''],['-00:29']
919,['https://freesound.org/people/khenshom/sounds/557376/'],['Rain sounds from a first...'],['khenshom'],,"['February 8th, 2021']",[''],['-01:46']
920,['https://freesound.org/people/Gerent/sounds/558748/'],['thunder-rolling-170315_0...'],['Gerent'],,"['February 16th, 2021']",[''],['-00:38']
921,['https://freesound.org/people/Michael-DB/sounds/344721/'],['Rain01.wav'],['Michael-DB'],,"['April 29th, 2016']",[''],['-00:38']
922,['https://freesound.org/people/depwl9992/sounds/345387/'],['Overflowing Gutters'],['depwl9992'],,"['May 7th, 2016']",[''],['-03:11']
923,['https://freesound.org/people/iut_Paris8/sounds/345032/'],['MONTECOT_Mélissa_2015_20...'],['iut_Paris8'],,"['May 4th, 2016']",[''],['-00:08']
924,['https://freesound.org/people/leonseptavaux/sounds/346469/'],['Rain_umbrella_stereo.aif'],['leonseptavaux'],,"['May 28th, 2016']",[''],['-01:10']
925,['https://freesound.org/people/elliotrambach/sounds/344609/'],['Heavy rain and thunder i...'],['elliotrambach'],,"['April 28th, 2016']",[''],['-00:58']
926,['https://freesound.org/people/Elements-Library/sounds/683781/'],['Water Dripping on Wood'],['Elements-Library'],,"['April 13th, 2023']",[''],['-00:16']
927,['https://freesound.org/people/selcukartut/sounds/553378/'],['moderate rain with light...'],['selcukartut'],,"['January 5th, 2021']",[''],['-01:20']
928,['https://freesound.org/people/djnomore/sounds/553512/'],['Tropical rain w thunder.wav'],['djnomore'],,"['January 6th, 2021']",[''],['-00:56']
929,['https://freesound.org/people/DBlover/sounds/478665/'],['Rain ambient sounds'],['DBlover'],,"['August 6th, 2019']",[''],['-01:37']
930,['https://freesound.org/people/Sounds_by_Cois/sounds/553923/'],['Heavy Rain'],['Sounds_by_Cois'],,"['January 9th, 2021']",[''],['-02:00']
931,['https://freesound.org/people/nickcase/sounds/552698/'],['Raindrops on tent roof'],['nickcase'],,"['January 2nd, 2021']",['Raindrops hitting the tent roof while raining becomes stronger. Distant dog barking and traffic noise. Recorded with Tascam DR 40'],['-03:07']
932,['https://freesound.org/people/t-man95/sounds/553229/'],['Storm 1.wav'],['t-man95'],,"['January 4th, 2021']",[''],['-03:41']
933,['https://freesound.org/people/WhiteFringe/sounds/553478/'],['rain.wav'],['WhiteFringe'],,"['January 6th, 2021']",[''],['-06:46']
934,['https://freesound.org/people/Fauxpunker/sounds/554973/'],['Rain under a tin roof'],['Fauxpunker'],,"['January 21st, 2021']",[''],['-02:23']
935,['https://freesound.org/people/softcoresoft/sounds/341846/'],['Rain.wav'],['softcoresoft'],,"['April 1st, 2016']",[''],['-00:52']
936,['https://freesound.org/people/paisagemsonoraunila/sounds/342644/'],['Rain at Night'],['paisagemsonoraunila'],,"['April 12th, 2016']",[''],['-03:05']
937,['https://freesound.org/people/kb7clx/sounds/342211/'],['TStorm April 5 2016.mp3'],['kb7clx'],,"['April 6th, 2016']",[''],['-04:28']
938,['https://freesound.org/people/nick121087/sounds/342461/'],['Car Rain Interior'],['nick121087'],,"['April 11th, 2016']",[''],['-02:06']
939,['https://freesound.org/people/SamuelGremaud/sounds/477944/'],['RAIN - 1'],['SamuelGremaud'],,"['July 26th, 2019']",[''],['-00:46']
940,['https://freesound.org/people/deadrobotmusic/sounds/549909/'],['PNW rain perfect loop 11...'],['deadrobotmusic'],,"['December 22nd, 2020']",[''],['-02:14']
941,['https://freesound.org/people/pulswelle/sounds/477556/'],['Steady Rain 2 short'],['pulswelle'],,"['July 22nd, 2019']",[''],['-01:11']
942,['https://freesound.org/people/frenkfurth/sounds/650428/'],['Rain on roof 0001.wav'],['frenkfurth'],,"['September 17th, 2022']",[''],['-10:30']
943,['https://freesound.org/people/canakkale1/sounds/551568/'],['Heavy rain and thunderst...'],['canakkale1'],,"['December 30th, 2020']",[''],['-01:22']
944,['https://freesound.org/people/pulswelle/sounds/477557/'],['Rain And Thunder At Fehmarn'],['pulswelle'],,"['July 22nd, 2019']",[''],['-03:55']
945,['https://freesound.org/people/richwise/sounds/477422/'],['Rain at Goodwood 1'],['richwise'],,"['July 20th, 2019']",[''],['-02:42']
946,['https://freesound.org/people/SamuelGremaud/sounds/477945/'],['CAR PASSAGE WHEN IT RAINS'],['SamuelGremaud'],,"['July 26th, 2019']",['Sound of a car passage when it rains. Sound recorded with a ZOOM H4N Pro and a Rycote Mini Wind …'],['-00:26']
947,['https://freesound.org/people/colorsCrimsonTears/sounds/547518/'],['Rain w/bass'],['colorsCrimsonTears'],,"['December 10th, 2020']",[''],['-01:26']
948,['https://freesound.org/people/PicklesSuck/sounds/547571/'],['TORNADO!!!'],['PicklesSuck'],,"['December 10th, 2020']",[''],['-00:05']
949,['https://freesound.org/people/yezzy/sounds/548476/'],['rain2.wav'],['yezzy'],,"['December 18th, 2020']",[''],['-00:40']
950,['https://freesound.org/people/yezzy/sounds/548477/'],['rain1.wav'],['yezzy'],,"['December 18th, 2020']",[''],['-00:47']
951,['https://freesound.org/people/AlicoSanti/sounds/476761/'],['Rain_LightTraffic_Ambien...'],['AlicoSanti'],,"['July 14th, 2019']",[''],['-01:20']
952,['https://freesound.org/people/richwise/sounds/477421/'],['Rain at Goodwood 2'],['richwise'],,"['July 20th, 2019']",[''],['-00:49']
953,['https://freesound.org/people/Vanalosswen/sounds/548381/'],['Rain Storm.wav'],['Vanalosswen'],,"['December 17th, 2020']",[''],['-10:15']
954,['https://freesound.org/people/richwise/sounds/477420/'],['Rain at Goodwood 3'],['richwise'],,"['July 20th, 2019']",[''],['-01:03']
955,['https://freesound.org/people/Haleymepham18/sounds/339698/'],['Stage Sound Rainstorm'],['Haleymepham18'],,"['March 14th, 2016']",[''],['-00:54']
956,['https://freesound.org/people/AlfredGoldman89/sounds/341336/'],['summer rain.wav'],['AlfredGoldman89'],,"['March 25th, 2016']",[''],['-00:14']
957,['https://freesound.org/people/Katsuhira/sounds/575366/'],['rain.wav'],['Katsuhira'],,"['June 10th, 2021']",[''],['-04:57']
958,['https://freesound.org/people/ericnorcross81/sounds/575555/'],['Rain on Window 2'],['ericnorcross81'],,"['June 12th, 2021']",[''],['-00:25']
959,['https://freesound.org/people/ericnorcross81/sounds/574749/'],['Thunder and Rain in NYC'],['ericnorcross81'],,"['June 8th, 2021']",[''],['-01:20']
960,['https://freesound.org/people/ChaliceWell/sounds/574482/'],['Donner und Regen.mp3'],['ChaliceWell'],,"['June 6th, 2021']",[''],['-00:52']
961,['https://freesound.org/people/ericnorcross81/sounds/574750/'],['4.5 Mins of Thunder and ...'],['ericnorcross81'],,"['June 8th, 2021']","['Several different takes combined, recorded from the second floor apartment of an NYC townhouse. The rain is hitting a neighboring …']",['-04:36']
962,['https://freesound.org/people/ericnorcross81/sounds/575558/'],['Thunder and Rain (Street...'],['ericnorcross81'],,"['June 12th, 2021']",[''],['-01:08']
963,['https://freesound.org/people/weerm/sounds/505037/'],['Wynd.mp3'],['weerm'],,"['February 3rd, 2020']",[''],['-05:37']
964,['https://freesound.org/people/lisbon_story/sounds/506891/'],['Heavy rain'],['lisbon_story'],,"['February 25th, 2020']",[''],['-01:00']
965,['https://freesound.org/people/Hoizy/sounds/574368/'],['rain+thunder@grimbergen.wav'],['Hoizy'],,"['June 5th, 2021']",[''],['-05:31']
966,['https://freesound.org/people/jgrzinich/sounds/574696/'],['Distant Thunder Ambisonic A'],['jgrzinich'],,"['June 7th, 2021']",[''],['-03:16']
967,['https://freesound.org/people/Err0rC0de/sounds/575489/'],['Hard_Rainfall_Looping_Jo...'],['Err0rC0de'],,"['June 12th, 2021']",[''],['-01:36']
968,['https://freesound.org/people/ericnorcross81/sounds/574753/'],['Rain and Thunder with Di...'],['ericnorcross81'],,"['June 8th, 2021']",[''],['-02:40']
969,['https://freesound.org/people/ericnorcross81/sounds/575556/'],['Rain on Window 1'],['ericnorcross81'],,"['June 12th, 2021']",[''],['-01:12']
970,['https://freesound.org/people/yaanick/sounds/570307/'],['heavy rain.wav'],['yaanick'],,"['May 4th, 2021']",[''],['-02:22']
971,['https://freesound.org/people/freemanwalking/sounds/570334/'],['distant rumble of thunde...'],['freemanwalking'],,"['May 4th, 2021']",[''],['-00:16']
972,['https://freesound.org/people/deestunes/sounds/572007/'],['Rain On Acryl'],['deestunes'],,"['May 19th, 2021']",[''],['-02:06']
973,['https://freesound.org/people/phonoflora/sounds/500148/'],['liner cabin creaks and g...'],['phonoflora'],,"['December 25th, 2019']",[''],['-00:27']
974,['https://freesound.org/people/romancito/sounds/570281/'],['trailerrain.wav'],['romancito'],,"['May 3rd, 2021']",[''],['-02:33']
975,['https://freesound.org/people/freemanwalking/sounds/570333/'],['storm 5-4-2021 mix.wav'],['freemanwalking'],,"['May 4th, 2021']",[''],['-01:54']
976,['https://freesound.org/people/khenshom/sounds/503281/'],['Hard hail falling during...'],['khenshom'],,"['January 23rd, 2020']","[""Recorded hail falling outside my window - window is open. Recorded with Zoom H5's internal XY mics.""]",['-00:55']
977,['https://freesound.org/people/space_veggies/sounds/574039/'],"['rainstorm with birds, di...']",['space_veggies'],,"['June 3rd, 2021']",[''],['-07:56']
978,['https://freesound.org/people/space_veggies/sounds/574040/'],['rain with birds.m4a'],['space_veggies'],,"['June 3rd, 2021']",[''],['-02:28']
979,['https://freesound.org/people/space_veggies/sounds/574041/'],['loud thunder.m4a'],['space_veggies'],,"['June 3rd, 2021']",[''],['-00:31']
980,['https://freesound.org/people/khenshom/sounds/503280/'],['Rain and hail fall on gr...'],['khenshom'],,"['January 23rd, 2020']",[''],['-00:35']
981,['https://freesound.org/people/TRP/sounds/572701/'],"['181004 Rain, constant he...']",['TRP'],,"['May 26th, 2021']",[''],['-01:28']
982,['https://freesound.org/people/space_veggies/sounds/574042/'],['very loud thunder crack.m4a'],['space_veggies'],,"['June 3rd, 2021']",[''],['-00:39']
983,['https://freesound.org/people/ProdMultimediasHQI/sounds/572748/'],['Rain on a metalic roof.wav'],['ProdMultimediasHQI'],,"['May 26th, 2021']",[''],['-05:08']
984,['https://freesound.org/people/khenshom/sounds/503279/'],['Rain and hail fall on gr...'],['khenshom'],,"['January 23rd, 2020']",[''],['-00:40']
985,['https://freesound.org/people/ericnorcross81/sounds/573218/'],['25 Seconds of Rain Ambia...'],['ericnorcross81'],,"['May 30th, 2021']",[''],['-00:25']
986,['https://freesound.org/people/ericnorcross81/sounds/573219/'],['Rain Dripping on Rubber ...'],['ericnorcross81'],,"['May 30th, 2021']",[''],['-00:34']
987,['https://freesound.org/people/ericnorcross81/sounds/573221/'],['About a Minute of Rain A...'],['ericnorcross81'],,"['May 30th, 2021']",[''],['-01:00']
988,['https://freesound.org/people/ericnorcross81/sounds/573220/'],['Rain Ambience from Under...'],['ericnorcross81'],,"['May 30th, 2021']",[''],['-00:48']
989,['https://freesound.org/people/Yadeuz/sounds/377153/'],['Strongwind.wav'],['Yadeuz'],,"['January 20th, 2017']",[''],['-02:11']
990,['https://freesound.org/people/Leafs67/sounds/379349/'],['rain hard.wav'],['Leafs67'],,"['February 1st, 2017']",[''],['-00:23']
991,['https://freesound.org/people/vero.marengere/sounds/523683/'],['Rainfall in Montreal.wav'],['vero.marengere'],,"['June 24th, 2020']",['Rainfall in Montreal Zoom H4N Pro 2020'],['-02:42']
992,['https://freesound.org/people/mitchellsounds/sounds/515711/'],['Hudson_spring_hail_rain_...'],['mitchellsounds'],,"['April 29th, 2020']",[''],['-01:22']
993,['https://freesound.org/people/AhmadAiuby/sounds/683187/'],['Heavy rain in Cairo'],['AhmadAiuby'],,"['April 9th, 2023']",[''],['-00:41']
994,['https://freesound.org/people/rabertfergo/sounds/671535/'],['Hail on Window Far.wav'],['rabertfergo'],,"['January 27th, 2023']",[''],['-01:42']
995,['https://freesound.org/people/quartzgate/sounds/178117/'],['Record 06'],['quartzgate'],,"['February 13th, 2013']",[''],['-05:07']
996,['https://freesound.org/people/SoundProject123456789/sounds/263081/'],['Rainy'],['SoundProject123456789'],,"['February 4th, 2015']",[''],['-00:08']
997,['https://freesound.org/people/simongray/sounds/348046/'],['Te Atatu Evening Rain.aiff'],['simongray'],,"['June 19th, 2016']",[''],['-02:36']
998,['https://freesound.org/people/ebanse/sounds/415318/'],['tonerre-eglise.WAV'],['ebanse'],,"['January 14th, 2018']",[''],['-00:42']
999,['https://freesound.org/people/tec_studio/sounds/445306/'],['Dark Wind 3.wav'],['tec_studio'],,"['November 1st, 2018']",[''],['-00:20']
1000,['https://freesound.org/people/Fission9/sounds/576041/'],['Huge Thunderclap'],['Fission9'],,"['June 16th, 2021']",[''],['-00:31']
1001,['https://freesound.org/people/AppleCorey/sounds/652325/'],['Thunder Johor Bahru Trip...'],['AppleCorey'],,"['October 3rd, 2022']",[''],['-00:58']
1002,['https://freesound.org/people/rucisko/sounds/583932/'],['jungle rain 02'],['rucisko'],,"['August 18th, 2021']",[''],['-01:43']
1003,['https://freesound.org/people/Baconation/sounds/592450/'],['Thunder Storm And Rain (...'],['Baconation'],,"['October 17th, 2021']",[''],['-03:01']
1004,['https://freesound.org/people/Joao_Janz/sounds/477682/'],['Plastic Toy Ball Rain Ma...'],['Joao_Janz'],,"['July 24th, 2019']",[''],['-00:09']
1005,['https://freesound.org/people/artesmediales/sounds/515820/'],['nova_adriana_geo_fonia_l...'],['artesmediales'],,"['April 29th, 2020']",[''],['-02:31']
1006,['https://freesound.org/people/hmilleo/sounds/668249/'],['light rain and traffic.wav'],['hmilleo'],,"['January 4th, 2023']",['Light rain and small traffic'],['-00:41']
1007,['https://freesound.org/people/Mefadel/sounds/612183/'],['rain.wav'],['Mefadel'],,"['December 20th, 2021']",[''],['-00:34']
1008,['https://freesound.org/people/bmlake/sounds/251628/'],['NYC Rain 1- close perspe...'],['bmlake'],,"['October 16th, 2014']",[''],['-01:04']
1009,['https://freesound.org/people/psubhashish/sounds/532443/'],['Sound of rainfall under ...'],['psubhashish'],,"['August 26th, 2020']",[''],['-00:58']
1010,['https://freesound.org/people/thegreatbelow/sounds/556018/'],['light rain 1'],['thegreatbelow'],,"['January 30th, 2021']",[''],['-00:36']
1011,['https://freesound.org/people/kijjaz/sounds/396319/'],['20170628 Heavy Rain in B...'],['kijjaz'],,"['June 27th, 2017']",[''],['-02:07']
1012,['https://freesound.org/people/ztitchez/sounds/370285/'],['rain gutter sink roof.wav'],['ztitchez'],,"['December 9th, 2016']",[''],['-00:35']
1013,['https://freesound.org/people/Outervo1d/sounds/669848/'],['Rain_Default_2.wav'],['Outervo1d'],,"['January 15th, 2023']",[''],['-00:32']
1014,['https://freesound.org/people/supersnd/sounds/592345/'],['Rain balcony window pers...'],['supersnd'],,"['October 16th, 2021']",[''],['-00:36']
1015,['https://freesound.org/people/Azrai93/sounds/592485/'],['Light Rain In Ipoh City.mp3'],['Azrai93'],,"['October 17th, 2021']",[''],['-05:29']
1016,['https://freesound.org/people/itinerantmonk108/sounds/594123/'],['RAINMDNT.wav'],['itinerantmonk108'],,"['October 26th, 2021']",[''],['-02:08']
1017,['https://freesound.org/people/titi2/sounds/571244/'],['rain_water210511_0080.mp3'],['titi2'],,"['May 14th, 2021']",[''],['-01:03']
1018,['https://freesound.org/people/zavoronok/sounds/639104/'],['Rain in Tallinn'],['zavoronok'],,"['June 18th, 2022']",[''],['-01:58']
1019,['https://freesound.org/people/dannyah/sounds/610578/'],['Bunyi no.9 petir hujan o...'],['dannyah'],,"['December 5th, 2021']",[''],['-01:20']
1020,['https://freesound.org/people/giddster/sounds/437338/'],"['Rain, thunder and traffic']",['giddster'],,"['August 21st, 2018']",[''],['-02:44']
1021,['https://freesound.org/people/cognito%20perceptu/sounds/536902/'],['thunder sharp crack appr...'],['cognito perceptu'],,"['September 28th, 2020']","['A sharp crack of thunder from an approaching storm, so there is no rain or wind in the recording. The …']",['-00:22']
1022,['https://freesound.org/people/speakwithanimals/sounds/525044/'],['Rain Slowly Passing SIDE...'],['speakwithanimals'],,"['July 4th, 2020']",[''],['-05:58']
1023,['https://freesound.org/people/vincefred/sounds/515806/'],['Rain_01 (wav-24bit-96khz)'],['vincefred'],,"['April 29th, 2020']",[''],['-02:17']
1024,['https://freesound.org/people/bushtobazaar/sounds/524565/'],['Rain runoff (post rain)'],['bushtobazaar'],,"['June 30th, 2020']",[''],['-00:30']
1025,['https://freesound.org/people/djpaine/sounds/534829/'],['2020_09_12_RAIN.mp3'],['djpaine'],,"['September 13th, 2020']",[''],['-109:51']
1026,['https://freesound.org/people/eryps/sounds/650541/'],['spyre Operator Rain 2 Fi...'],['eryps'],,"['September 18th, 2022']",[''],['-02:46']
1027,['https://freesound.org/people/davidbain/sounds/320473/'],['Rain on the windows'],['davidbain'],,"['August 23rd, 2015']",[''],['-00:43']
1028,['https://freesound.org/people/univ_lyon3/sounds/250729/'],['COLIN_Nina_2014_2015_rai...'],['univ_lyon3'],,"['October 6th, 2014']",[''],['-00:08']
1029,['https://freesound.org/people/Anthousai/sounds/398738/'],['rain - garage - left doo...'],['Anthousai'],,"['August 2nd, 2017']",[''],['-00:13']
1030,['https://freesound.org/people/IsaacRoman/sounds/420842/'],['ambience_wind_forest_str...'],['IsaacRoman'],,"['March 5th, 2018']",[''],['-00:35']
1031,['https://freesound.org/people/strathamer/sounds/399650/'],['Rainy Day 2.wav'],['strathamer'],,"['August 16th, 2017']",[''],['-05:52']
1032,['https://freesound.org/people/inchadney/sounds/398221/'],['rain on a roof window.wav'],['inchadney'],,"['July 25th, 2017']",[''],['-02:54']
1033,['https://freesound.org/people/byronabadia/sounds/395467/'],['221_Lluvia_Debil.mp3'],['byronabadia'],,"['June 15th, 2017']",[''],['-01:31']
1034,['https://freesound.org/people/dbspin/sounds/396689/'],['Rain Draining into concr...'],['dbspin'],,"['July 2nd, 2017']",[''],['-03:26']
1035,['https://freesound.org/people/DrMaysta/sounds/402551/'],['05_light_rain_with_thund...'],['DrMaysta'],,"['September 18th, 2017']",[''],['-00:31']
1036,['https://freesound.org/people/orlandorizo/sounds/587316/'],['Soft rain.WAV'],['orlandorizo'],,"['September 17th, 2021']",['It is the recording of a soft rain with some drops falling on an upturned bucket and on a plastic …'],['-01:44']
1037,['https://freesound.org/people/SoundEnsemble/sounds/238689/'],['SE Thunder 02.wav'],['SoundEnsemble'],,"['May 25th, 2014']",[''],['-00:14']
1038,['https://freesound.org/people/MrAuralization/sounds/241293/'],['Rain and thunder 2'],['MrAuralization'],,"['June 27th, 2014']",[''],['-04:00']
1039,['https://freesound.org/people/Daphne_in_Wonderland/sounds/239488/'],['Rain next to open window...'],['Daphne_in_Wonderland'],,"['May 31st, 2014']",[''],['-02:28']
1040,['https://freesound.org/people/univ_lyon3/sounds/443134/'],['DOIZY_HADRIEN_2018_2019_...'],['univ_lyon3'],,"['October 15th, 2018']",[''],['-00:11']
1041,['https://freesound.org/people/csengeri/sounds/434363/'],['2018 07 06-07 thundersto...'],['csengeri'],,"['July 7th, 2018']",[''],['-102:39']
1042,['https://freesound.org/people/zoneblanche/sounds/405526/'],['Zone_B_171021_02.WAV'],['zoneblanche'],,"['October 24th, 2017']",[''],['-02:41']
1043,['https://freesound.org/people/csengeri/sounds/432443/'],['12nd June 2018 midnight ...'],['csengeri'],,"['June 13th, 2018']",[''],['-161:17']
1044,['https://freesound.org/people/YleArkisto/sounds/257254/'],['Päivänvarjo lepattaa tuu...'],['YleArkisto'],,"['December 9th, 2014']",[''],['-02:57']
1045,['https://freesound.org/people/Juunanagou/sounds/243967/'],['temporale2.mp3'],['Juunanagou'],,"['August 1st, 2014']",[''],['-00:04']
1046,['https://freesound.org/people/timsc/sounds/204239/'],"['Wind in the Trees, Storm 3']",['timsc'],,"['October 28th, 2013']",[''],['-04:45']
1047,['https://freesound.org/people/deleted_user_4798915/sounds/277362/'],['Storm.wav'],['deleted_user_4798915'],,"['June 24th, 2015']",[''],['-22:04']
1048,['https://freesound.org/people/jesusXXX/sounds/259696/'],['Small waterfall.wav'],['jesusXXX'],,"['December 29th, 2014']",[''],['-00:09']
1049,['https://freesound.org/people/Garuda1982/sounds/425041/'],['hail storm & thunder fie...'],['Garuda1982'],,"['April 12th, 2018']",[''],['-01:03']
1050,['https://freesound.org/people/jaserhodes25/sounds/435713/'],['Storm Florida 7 29 18 Ra...'],['jaserhodes25'],,"['July 29th, 2018']",[''],['-01:43']
1051,['https://freesound.org/people/csengeri/sounds/125073/'],['2011julius1904.wav'],['csengeri'],,"['July 20th, 2011']","['Huge thunderstorms arrived to Pécel on 19th of July, 2011. I recorded these sounds by my MyAudio MP4 player. There …']",['-05:48']
1052,['https://freesound.org/people/plyboard9/sounds/531872/'],['Rain&ThunderLoop2Heavy.wav'],['plyboard9'],,"['August 23rd, 2020']",[''],['-01:04']
1053,['https://freesound.org/people/Danjocross/sounds/546236/'],['Thunderstorm 8-12-20.m4a'],['Danjocross'],,"['November 26th, 2020']",[''],['-04:02']
1054,['https://freesound.org/people/BurghRecords/sounds/562872/'],['Strong Wind Blowing'],['BurghRecords'],,"['March 10th, 2021']",[''],['-05:59']
1055,['https://freesound.org/people/JustinAmolsch/sounds/533195/'],['compressed thunder clap.wav'],['JustinAmolsch'],,"['August 31st, 2020']",[''],['-00:21']
1056,['https://freesound.org/people/iut_Paris8/sounds/566557/'],['Dudit_emilie_2020_2021_S...'],['iut_Paris8'],,"['April 6th, 2021']",[''],['-00:02']
1057,['https://freesound.org/people/Matthewsnatalie17/sounds/460231/'],['Rainfall'],['Matthewsnatalie17'],,"['February 21st, 2019']",[''],['-00:14']
1058,['https://freesound.org/people/richmanos/sounds/430692/'],['Lluvia.wav'],['richmanos'],,"['May 23rd, 2018']",[''],['-00:29']
