Animal,Common Name,Bio Prompt,Image Prompt,"Bio
Generated","Image
Generated
(Best of 4)","Real Image
Obtained","Bio-verified 
(Wikipedia)","Image-verified
(Image Search)","Assets added to site and 
both lookup functions updated",Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,JSON
Geopelia cuneata,,Please generate a short species bio with some interesting facts about  Geopelia cuneata.,"A photo realistic images of the animal, Geopelia cuneata in it's natural habitat",,,,,,,,,,,,,,
Geopelia humeralis,,Please generate a short species bio with some interesting facts about  Geopelia humeralis.,"A photo realistic images of the animal, Geopelia humeralis in it's natural habitat",,,,,,,,,,,,,,
Geopelia placida,,Please generate a short species bio with some interesting facts about  Geopelia placida.,"A photo realistic images of the animal, Geopelia placida in it's natural habitat",,,,,,,,,,,,,,
Geophaps plumifera,,Please generate a short species bio with some interesting facts about  Geophaps plumifera.,"A photo realistic images of the animal, Geophaps plumifera in it's natural habitat",,,,,,,,,,,,,,
Gerygone fusca,,Please generate a short species bio with some interesting facts about  Gerygone fusca.,"A photo realistic images of the animal, Gerygone fusca in it's natural habitat",,,,,,,,,,,,,,
Gerygone mouki,,Please generate a short species bio with some interesting facts about  Gerygone mouki.,"A photo realistic images of the animal, Gerygone mouki in it's natural habitat",,,,,,,,,,,,,,
Gerygone olivacea,,Please generate a short species bio with some interesting facts about  Gerygone olivacea.,"A photo realistic images of the animal, Gerygone olivacea in it's natural habitat",,,,,,,,,,,,,,
Glossopsitta concinna,,Please generate a short species bio with some interesting facts about  Glossopsitta concinna.,"A photo realistic images of the animal, Glossopsitta concinna in it's natural habitat",,,,,,,,,,,,,,
Grallina cyanoleuca,,Please generate a short species bio with some interesting facts about  Grallina cyanoleuca.,"A photo realistic images of the animal, Grallina cyanoleuca in it's natural habitat",,,,,,,,,,,,,,
Grantiella picta,,Please generate a short species bio with some interesting facts about  Grantiella picta.,"A photo realistic images of the animal, Grantiella picta in it's natural habitat",,,,,,,,,,,,,,
GryllidaeÂ sp.,,Please generate a short species bio with some interesting facts about  GryllidaeÂ sp..,"A photo realistic images of the animal, GryllidaeÂ sp. in it's natural habitat",,,,,,,,,,,,,,
GryllotalpidaeÂ sp.,,Please generate a short species bio with some interesting facts about  GryllotalpidaeÂ sp..,"A photo realistic images of the animal, GryllotalpidaeÂ sp. in it's natural habitat",,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
Litoria latopalmata,,Please generate a short species bio with some interesting facts about  Litoria latopalmata.,"A photo realistic images of the animal, Litoria latopalmata in it's natural habitat",N,,,,,,,,,,,,,
Litoria myola,Kuranda Tree Frog,Please generate a short species bio with some interesting facts about  Litoria myola.,"A photo realistic images of the animal, Litoria myola in it's natural habitat",Y,,,Common Name?,,,,,,,,,,
Litoria peronii,Peron's Tree Frog,Please generate a short species bio with some interesting facts about  Litoria peronii.,"A photo realistic images of the animal, Litoria peronii in it's natural habitat",,,,Common Name?,,,,,,,,,,
Litoria serrata,,Please generate a short species bio with some interesting facts about  Litoria serrata.,"A photo realistic images of the animal, Litoria serrata in it's natural habitat",,,,Y,,,,,,,,,,
Litoria verreauxii,,Please generate a short species bio with some interesting facts about  Litoria verreauxii.,"A photo realistic images of the animal, Litoria verreauxii in it's natural habitat",,,,Y,,,,,,,,,,
Litoria xanthomera,Orange Thighed Tree Frog,Please generate a short species bio with some interesting facts about  Litoria xanthomera.,"A photo realistic images of the animal, Litoria xanthomera in it's natural habitat",,,,Common Name?,,,,,,,,,,
Lophochroa leadbeateri,,Please generate a short species bio with some interesting facts about  Lophochroa leadbeateri.,"A photo realistic images of the animal, Lophochroa leadbeateri in it's natural habitat",,,,Y,,,,,,,,,,
Macropus giganteus,,Please generate a short species bio with some interesting facts about  Macropus giganteus.,"A photo realistic images of the animal, Macropus giganteus in it's natural habitat",,,,Y,,,,,,,,,,
MalacostracaÂ sp.,,Please generate a short species bio with some interesting facts about  MalacostracaÂ sp..,"A photo realistic images of the animal, MalacostracaÂ sp. in it's natural habitat",,,,Y,,,,,,,,,,
Malurus coronatus,Purple-crowned fairy wren,Please generate a short species bio with some interesting facts about  Malurus coronatus.,"A photo realistic images of the animal, Malurus coronatus in it's natural habitat",,,,Common Name?,,,,,,,,,,
Malurus cyaneus,,Please generate a short species bio with some interesting facts about  Malurus cyaneus.,"A photo realistic images of the animal, Malurus cyaneus in it's natural habitat",,,,,,,,,,,,,,
Malurus lamberti,,Please generate a short species bio with some interesting facts about  Malurus lamberti.,"A photo realistic images of the animal, Malurus lamberti in it's natural habitat",,,,,,,,,,,,,,
Malurus leucopterus,,Please generate a short species bio with some interesting facts about  Malurus leucopterus.,"A photo realistic images of the animal, Malurus leucopterus in it's natural habitat",,,,,,,,,,,,,,
Malurus splendens,,Please generate a short species bio with some interesting facts about  Malurus splendens.,"A photo realistic images of the animal, Malurus splendens in it's natural habitat",,,,,,,,,,,,,,
Manorina flavigula,,Please generate a short species bio with some interesting facts about  Manorina flavigula.,"A photo realistic images of the animal, Manorina flavigula in it's natural habitat",,,,,,,,,,,,,,
Manorina melanocephala,,Please generate a short species bio with some interesting facts about  Manorina melanocephala.,"A photo realistic images of the animal, Manorina melanocephala in it's natural habitat",,,,,,,,,,,,,,
Manorina melanophrys,,Please generate a short species bio with some interesting facts about  Manorina melanophrys.,"A photo realistic images of the animal, Manorina melanophrys in it's natural habitat",,,,,,,,,,,,,,
Megapodius reinwardt,,Please generate a short species bio with some interesting facts about  Megapodius reinwardt.,"A photo realistic images of the animal, Megapodius reinwardt in it's natural habitat",,,,,,,,,,,,,,
Melanodryas cucullata,,Please generate a short species bio with some interesting facts about  Melanodryas cucullata.,"A photo realistic images of the animal, Melanodryas cucullata in it's natural habitat",,,,,,,,,,,,,,
Meliphaga lewinii,,Please generate a short species bio with some interesting facts about  Meliphaga lewinii.,"A photo realistic images of the animal, Meliphaga lewinii in it's natural habitat",,,,,,,,,,,,,,
Melithreptus albogularis,,Please generate a short species bio with some interesting facts about  Melithreptus albogularis.,"A photo realistic images of the animal, Melithreptus albogularis in it's natural habitat",,,,,,,,,,,,,,
Melithreptus brevirostris,,Please generate a short species bio with some interesting facts about  Melithreptus brevirostris.,"A photo realistic images of the animal, Melithreptus brevirostris in it's natural habitat",,,,,,,,,,,,,,
Melithreptus gularis,,Please generate a short species bio with some interesting facts about  Melithreptus gularis.,"A photo realistic images of the animal, Melithreptus gularis in it's natural habitat",,,,,,,,,,,,,,
Melithreptus lunatus,,Please generate a short species bio with some interesting facts about  Melithreptus lunatus.,"A photo realistic images of the animal, Melithreptus lunatus in it's natural habitat",,,,,,,,,,,,,,
Melopsittacus undulatus,,Please generate a short species bio with some interesting facts about  Melopsittacus undulatus.,"A photo realistic images of the animal, Melopsittacus undulatus in it's natural habitat",,,,,,,,,,,,,,
Menura alberti,,Please generate a short species bio with some interesting facts about  Menura alberti.,"A photo realistic images of the animal, Menura alberti in it's natural habitat",,,,,,,,,,,,,,
Menura novaehollandiae,,Please generate a short species bio with some interesting facts about  Menura novaehollandiae.,"A photo realistic images of the animal, Menura novaehollandiae in it's natural habitat",,,,,,,,,,,,,,
Merops ornatus,,Please generate a short species bio with some interesting facts about  Merops ornatus.,"A photo realistic images of the animal, Merops ornatus in it's natural habitat",,,,,,,,,,,,,,
MicrochiropteraÂ sp.,,Please generate a short species bio with some interesting facts about  MicrochiropteraÂ sp..,"A photo realistic images of the animal, MicrochiropteraÂ sp. in it's natural habitat",,,,,,,,,,,,,,
Microeca fascinans,,Please generate a short species bio with some interesting facts about  Microeca fascinans.,"A photo realistic images of the animal, Microeca fascinans in it's natural habitat",,,,,,,,,,,,,,
Microeca flavigaster,,Please generate a short species bio with some interesting facts about  Microeca flavigaster.,"A photo realistic images of the animal, Microeca flavigaster in it's natural habitat",,,,,,,,,,,,,,
Milvus migrans,,Please generate a short species bio with some interesting facts about  Milvus migrans.,"A photo realistic images of the animal, Milvus migrans in it's natural habitat",,,,,,,,,,,,,,
Mirafra javanica,,Please generate a short species bio with some interesting facts about  Mirafra javanica.,"A photo realistic images of the animal, Mirafra javanica in it's natural habitat",,,,,,,,,,,,,,
Myiagra alecto,,Please generate a short species bio with some interesting facts about  Myiagra alecto.,"A photo realistic images of the animal, Myiagra alecto in it's natural habitat",,,,,,,,,,,,,,
Myiagra cyanoleuca,,Please generate a short species bio with some interesting facts about  Myiagra cyanoleuca.,"A photo realistic images of the animal, Myiagra cyanoleuca in it's natural habitat",,,,,,,,,,,,,,
Myiagra inquieta,,Please generate a short species bio with some interesting facts about  Myiagra inquieta.,"A photo realistic images of the animal, Myiagra inquieta in it's natural habitat",,,,,,,,,,,,,,
Myiagra rubecula,,Please generate a short species bio with some interesting facts about  Myiagra rubecula.,"A photo realistic images of the animal, Myiagra rubecula in it's natural habitat",,,,,,,,,,,,,,
Myzomela erythrocephala,,Please generate a short species bio with some interesting facts about  Myzomela erythrocephala.,"A photo realistic images of the animal, Myzomela erythrocephala in it's natural habitat",,,,,,,,,,,,,,
Myzomela sanguinolenta,,Please generate a short species bio with some interesting facts about  Myzomela sanguinolenta.,"A photo realistic images of the animal, Myzomela sanguinolenta in it's natural habitat",,,,,,,,,,,,,,
Neochmia phaeton,,Please generate a short species bio with some interesting facts about  Neochmia phaeton.,"A photo realistic images of the animal, Neochmia phaeton in it's natural habitat",,,,,,,,,,,,,,
Neochmia temporalis,,Please generate a short species bio with some interesting facts about  Neochmia temporalis.,"A photo realistic images of the animal, Neochmia temporalis in it's natural habitat",,,,,,,,,,,,,,
Neophema pulchella,,Please generate a short species bio with some interesting facts about  Neophema pulchella.,"A photo realistic images of the animal, Neophema pulchella in it's natural habitat",,,,,,,,,,,,,,
Neosericornis citreogularis,,Please generate a short species bio with some interesting facts about  Neosericornis citreogularis.,"A photo realistic images of the animal, Neosericornis citreogularis in it's natural habitat",,,,,,,,,,,,,,
Nesoptilotis leucotis,,Please generate a short species bio with some interesting facts about  Nesoptilotis leucotis.,"A photo realistic images of the animal, Nesoptilotis leucotis in it's natural habitat",,,,,,,,,,,,,,
Nettapus pulchellus,,Please generate a short species bio with some interesting facts about  Nettapus pulchellus.,"A photo realistic images of the animal, Nettapus pulchellus in it's natural habitat",,,,,,,,,,,,,,
Ninox boobook,,Please generate a short species bio with some interesting facts about  Ninox boobook.,"A photo realistic images of the animal, Ninox boobook in it's natural habitat",,,,,,,,,,,,,,
Ninox connivens,,Please generate a short species bio with some interesting facts about  Ninox connivens.,"A photo realistic images of the animal, Ninox connivens in it's natural habitat",,,,,,,,,,,,,,
Ninox strenua,,Please generate a short species bio with some interesting facts about  Ninox strenua.,"A photo realistic images of the animal, Ninox strenua in it's natural habitat",,,,,,,,,,,,,,
Notamacropus rufogriseus,,Please generate a short species bio with some interesting facts about  Notamacropus rufogriseus.,"A photo realistic images of the animal, Notamacropus rufogriseus in it's natural habitat",,,,,,,,,,,,,,
NotopsaltraÂ atrata,,Please generate a short species bio with some interesting facts about  NotopsaltraÂ atrata.,"A photo realistic images of the animal, NotopsaltraÂ atrata in it's natural habitat",,,,,,,,,,,,,,
Nycticorax caledonicus,,Please generate a short species bio with some interesting facts about  Nycticorax caledonicus.,"A photo realistic images of the animal, Nycticorax caledonicus in it's natural habitat",,,,,,,,,,,,,,
Nymphicus hollandicus,,Please generate a short species bio with some interesting facts about  Nymphicus hollandicus.,"A photo realistic images of the animal, Nymphicus hollandicus in it's natural habitat",,,,,,,,,,,,,,
Ocyphaps lophotes,,Please generate a short species bio with some interesting facts about  Ocyphaps lophotes.,"A photo realistic images of the animal, Ocyphaps lophotes in it's natural habitat",,,,,,,,,,,,,,
Oreoica gutturalis,,Please generate a short species bio with some interesting facts about  Oreoica gutturalis.,"A photo realistic images of the animal, Oreoica gutturalis in it's natural habitat",,,,,,,,,,,,,,
Origma solitaria,,Please generate a short species bio with some interesting facts about  Origma solitaria.,"A photo realistic images of the animal, Origma solitaria in it's natural habitat",,,,,,,,,,,,,,
Oriolus flavocinctus,,Please generate a short species bio with some interesting facts about  Oriolus flavocinctus.,"A photo realistic images of the animal, Oriolus flavocinctus in it's natural habitat",,,,,,,,,,,,,,
Oriolus sagittatus,,Please generate a short species bio with some interesting facts about  Oriolus sagittatus.,"A photo realistic images of the animal, Oriolus sagittatus in it's natural habitat",,,,,,,,,,,,,,
Osphranter robustus,,Please generate a short species bio with some interesting facts about  Osphranter robustus.,"A photo realistic images of the animal, Osphranter robustus in it's natural habitat",,,,,,,,,,,,,,
Pachycephala inornata,,Please generate a short species bio with some interesting facts about  Pachycephala inornata.,"A photo realistic images of the animal, Pachycephala inornata in it's natural habitat",,,,,,,,,,,,,,
Pachycephala pectoralis,,Please generate a short species bio with some interesting facts about  Pachycephala pectoralis.,"A photo realistic images of the animal, Pachycephala pectoralis in it's natural habitat",,,,,,,,,,,,,,
Pachycephala rufiventris,,Please generate a short species bio with some interesting facts about  Pachycephala rufiventris.,"A photo realistic images of the animal, Pachycephala rufiventris in it's natural habitat",,Y,,,,,,,,,,,,
Pachycephala simplex,,Please generate a short species bio with some interesting facts about  Pachycephala simplex.,"A photo realistic images of the animal, Pachycephala simplex in it's natural habitat",,,,,,,,,,,,,,
Pardalotus punctatus,,Please generate a short species bio with some interesting facts about  Pardalotus punctatus.,"A photo realistic images of the animal, Pardalotus punctatus in it's natural habitat",,,,,,,,,,,,,,
Pardalotus rubricatus,,Please generate a short species bio with some interesting facts about  Pardalotus rubricatus.,"A photo realistic images of the animal, Pardalotus rubricatus in it's natural habitat",,,,,,,,,,,,,,
Pardalotus striatus,,Please generate a short species bio with some interesting facts about  Pardalotus striatus.,"A photo realistic images of the animal, Pardalotus striatus in it's natural habitat",,,,,,,,,,,,,,
Parvipsitta pusilla,,Please generate a short species bio with some interesting facts about  Parvipsitta pusilla.,"A photo realistic images of the animal, Parvipsitta pusilla in it's natural habitat",,,,,,,,,,,,,,
Pelecanus conspicillatus,,Please generate a short species bio with some interesting facts about  Pelecanus conspicillatus.,"A photo realistic images of the animal, Pelecanus conspicillatus in it's natural habitat",,,,,,,,,,,,,,
Petrochelidon ariel,,Please generate a short species bio with some interesting facts about  Petrochelidon ariel.,"A photo realistic images of the animal, Petrochelidon ariel in it's natural habitat",,,,,,,,,,,,,,
Petrochelidon nigricans,,Please generate a short species bio with some interesting facts about  Petrochelidon nigricans.,"A photo realistic images of the animal, Petrochelidon nigricans in it's natural habitat",,,,,,,,,,,,,,
Petroica boodang,,Please generate a short species bio with some interesting facts about  Petroica boodang.,"A photo realistic images of the animal, Petroica boodang in it's natural habitat",,,,,,,,,,,,,,
Petroica goodenovii,,Please generate a short species bio with some interesting facts about  Petroica goodenovii.,"A photo realistic images of the animal, Petroica goodenovii in it's natural habitat",,,,,,,,,,,,,,
Petroica phoenicea,,Please generate a short species bio with some interesting facts about  Petroica phoenicea.,"A photo realistic images of the animal, Petroica phoenicea in it's natural habitat",,,,,,,,,,,,,,
Petroica rosea,,Please generate a short species bio with some interesting facts about  Petroica rosea.,"A photo realistic images of the animal, Petroica rosea in it's natural habitat",,,,,,,,,,,,,,
PhaneropterinaeÂ sp.,,Please generate a short species bio with some interesting facts about  PhaneropterinaeÂ sp..,"A photo realistic images of the animal, PhaneropterinaeÂ sp. in it's natural habitat",,,,,,,,,,,,,,
Phaps chalcoptera,,Please generate a short species bio with some interesting facts about  Phaps chalcoptera.,"A photo realistic images of the animal, Phaps chalcoptera in it's natural habitat",,,,,,,,,,,,,,
Phaps elegans,,Please generate a short species bio with some interesting facts about  Phaps elegans.,"A photo realistic images of the animal, Phaps elegans in it's natural habitat",,,,,,,,,,,,,,
PhapsÂ sp.,,Please generate a short species bio with some interesting facts about  PhapsÂ sp..,"A photo realistic images of the animal, PhapsÂ sp. in it's natural habitat",,,,,,,,,,,,,,
Philemon argenticeps,,Please generate a short species bio with some interesting facts about  Philemon argenticeps.,"A photo realistic images of the animal, Philemon argenticeps in it's natural habitat",,,,,,,,,,,,,,
Philemon buceroides,,Please generate a short species bio with some interesting facts about  Philemon buceroides.,"A photo realistic images of the animal, Philemon buceroides in it's natural habitat",,,,,,,,,,,,,,
Philemon citreogularis,,Please generate a short species bio with some interesting facts about  Philemon citreogularis.,"A photo realistic images of the animal, Philemon citreogularis in it's natural habitat",,,,,,,,,,,,,,
Philemon corniculatus,,Please generate a short species bio with some interesting facts about  Philemon corniculatus.,"A photo realistic images of the animal, Philemon corniculatus in it's natural habitat",,,,,,,,,,,,,,
Phylidonyris novaehollandiae,,Please generate a short species bio with some interesting facts about  Phylidonyris novaehollandiae.,"A photo realistic images of the animal, Phylidonyris novaehollandiae in it's natural habitat",,,,,,,,,,,,,,
Phylidonyris pyrrhopterus,Crescent Honeyeater,Please generate a short species bio with some interesting facts about  Phylidonyris pyrrhopterus,A photo realistic images of Phylidonyris pyrrhopterus in it's natural habitat,y,Y,,,,,,,,,,,,Y
Phylidonyris niger,White-cheeked honeyeater,Please generate a short species bio with some interesting facts about  Phylidonyris niger.,"A photo realistic images of the animal, Phylidonyris niger in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Pitta iris,Rainbow pitta,Please generate a short species bio with some interesting facts about  Pitta iris.,"A photo realistic images of the animal, Pitta iris in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Pitta versicolor,Noisy pitta,Please generate a short species bio with some interesting facts about  Pitta versicolor.,"A photo realistic images of the animal, Pitta versicolor in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Platycercus adscitus,Pale-headed rosella,Please generate a short species bio with some interesting facts about  Platycercus adscitus.,"A photo realistic images of the animal, Platycercus adscitus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Platycercus elegans,Crimson Rosella,Please generate a short species bio with some interesting facts about  Platycercus elegans.,"A photo realistic images of the animal, Platycercus elegans in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Platyplectrum ornatum,Ornate burrowing frog,Please generate a short species bio with some interesting facts about  Platyplectrum ornatum.,"A photo realistic images of the animal, Platyplectrum ornatum in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Plectorhyncha lanceolata,Striped Honeyeater,Please generate a short species bio with some interesting facts about  Plectorhyncha lanceolata.,"A photo realistic images of the animal, Plectorhyncha lanceolata in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Podargus strigoides,Tawny Frogmouth,Please generate a short species bio with some interesting facts about  Podargus strigoides.,"A photo realistic images of the animal, Podargus strigoides in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Poecilodryas superciliosa,White-browed robin,Please generate a short species bio with some interesting facts about  Poecilodryas superciliosa.,"A photo realistic images of the animal, Poecilodryas superciliosa in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Pomatostomus superciliosus,White-browed babbler,Please generate a short species bio with some interesting facts about  Pomatostomus superciliosus.,"A photo realistic images of the animal, Pomatostomus superciliosus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Pomatostomus temporalis,Grey-crowned babbler,Please generate a short species bio with some interesting facts about  Pomatostomus temporalis.,"A photo realistic images of the animal, Pomatostomus temporalis in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Poodytes gramineus,Little grassbird,Please generate a short species bio with some interesting facts about  Poodytes gramineus.,"A photo realistic images of the animal, Poodytes gramineus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Porphyrio porphyrio,Western swamphen,Please generate a short species bio with some interesting facts about  Porphyrio porphyrio.,"A photo realistic images of the animal, Porphyrio porphyrio in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Psaltoda moerens,the redeye,Please generate a short species bio with some interesting facts about  Psaltoda moerens.,"A photo realistic images of the animal, Psaltoda moerens in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Psaltoda plaga,silver knight,Please generate a short species bio with some interesting facts about  Psaltoda plaga.,"A photo realistic images of the animal, Psaltoda plaga in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Psephotellus varius,Mulga Parrot,Please generate a short species bio with some interesting facts about  PsephotellusÂ varius.,"A photo realistic images of the animal, PsephotellusÂ varius in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Psephotus haematonotus,Red-Rumped Parrot,Please generate a short species bio with some interesting facts about  Psephotus haematonotus.,"A photo realistic images of the animal, Psephotus haematonotus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Pseudocheirus peregrinus,Ring-tail possum,Please generate a short species bio with some interesting facts about  Pseudocheirus peregrinus.,"A photo realistic images of the animal, Pseudocheirus peregrinus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Psitteuteles versicolor,Varied lorikeet,Please generate a short species bio with some interesting facts about  Psitteuteles versicolor.,"A photo realistic images of the animal, Psitteuteles versicolor in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Psophodes cristatus,Chirruping wedgebill,Please generate a short species bio with some interesting facts about  Psophodes cristatus.,"A photo realistic images of the animal, Psophodes cristatus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Psophodes nigrogularis,Black-throated whipbird,Please generate a short species bio with some interesting facts about  Psophodes nigrogularis.,"A photo realistic images of the animal, Psophodes nigrogularis in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Psophodes occidentalis,Chiming wedgebill,Please generate a short species bio with some interesting facts about  Psophodes occidentalis.,"A photo realistic images of the animal, Psophodes occidentalis in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Psophodes olivaceus,Eastern whipbird,Please generate a short species bio with some interesting facts about  Psophodes olivaceus.,"A photo realistic images of the animal, Psophodes olivaceus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Pteropus scapulatus,Little red flying fox,Please generate a short species bio with some interesting facts about  Pteropus scapulatus.,"A photo realistic images of the animal, Pteropus scapulatus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Pteropus sp.,Torresian flying-fox,Please generate a short species bio with some interesting facts about  PteropusÂ sp..,"A photo realistic images of the animal, PteropusÂ sp. in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Ptilinopus regina,Rose-crowned fruit dove,Please generate a short species bio with some interesting facts about  Ptilinopus regina.,"A photo realistic images of the animal, Ptilinopus regina in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Ptilonorhynchus violaceus,Satin bowebird,Please generate a short species bio with some interesting facts about  Ptilonorhynchus violaceus.,"A photo realistic images of the animal, Ptilonorhynchus violaceus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Ptilotula flavescens,Yellow-tinted honeyeater,Please generate a short species bio with some interesting facts about  Ptilotula flavescens.,"A photo realistic images of the animal, Ptilotula flavescens in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Ptilotula fusca,Fuscous honeyeater,Please generate a short species bio with some interesting facts about  Ptilotula fusca.,"A photo realistic images of the animal, Ptilotula fusca in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Ptilotula keartlandi,Grey-headed honeyeater,Please generate a short species bio with some interesting facts about  Ptilotula keartlandi.,"A photo realistic images of the animal, Ptilotula keartlandi in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Ptilotula penicillata,White-plumed honeyeater,Please generate a short species bio with some interesting facts about  Ptilotula penicillata.,"A photo realistic images of the animal, Ptilotula penicillata in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Purnella albifrons,White-fronted honeyeater,Please generate a short species bio with some interesting facts about  Purnella albifrons.,"A photo realistic images of the animal, Purnella albifrons in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Purpureicephalus spurius,Red-Capped Parrot,Please generate a short species bio with some interesting facts about  Purpureicephalus spurius.,"A photo realistic images of the animal, Purpureicephalus spurius in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Pycnoptilus floccosus,Pilotbird,Please generate a short species bio with some interesting facts about  Pycnoptilus floccosus.,"A photo realistic images of the animal, Pycnoptilus floccosus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Pyrrholaemus brunneus,Redthroat,Please generate a short species bio with some interesting facts about  Pyrrholaemus brunneus.,"A photo realistic images of the animal, Pyrrholaemus brunneus in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Pyrrholaemus sagittata,speckled warbler ,Please generate a short species bio with some interesting facts about  Pyrrholaemus sagittata.,"A photo realistic images of the animal, Pyrrholaemus sagittata in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Radjah radjah,Radjah shelduck,Please generate a short species bio with some interesting facts about  RadjahÂ radjah.,"A photo realistic images of the animal, RadjahÂ radjah in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Ramsayornis fasciatus,Bar-breasted honeyeater,Please generate a short species bio with some interesting facts about  Ramsayornis fasciatus.,"A photo realistic images of the animal, Ramsayornis fasciatus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Rattus Norvegicus,Brown rat,Please generate a short species bio with some interesting facts about  Rattus Norvegicus.,"A photo realistic images of the animal, Rattus Norvegicus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Rhinella marina,Cane toad,Please generate a short species bio with some interesting facts about  Rhinella marina.,"A photo realistic images of the animal, Rhinella marina in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Rhipidura albiscapa,Grey fantail,Please generate a short species bio with some interesting facts about  Rhipidura albiscapa.,"A photo realistic images of the animal, Rhipidura albiscapa in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Rhipidura leucophrys,Willie wagtail,Please generate a short species bio with some interesting facts about  Rhipidura leucophrys.,"A photo realistic images of the animal, Rhipidura leucophrys in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Rhipidura rufifrons,Rufous fantail,Please generate a short species bio with some interesting facts about  Rhipidura rufifrons.,"A photo realistic images of the animal, Rhipidura rufifrons in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Rhipidura rufiventris,Northern fantail,Please generate a short species bio with some interesting facts about  Rhipidura rufiventris.,"A photo realistic images of the animal, Rhipidura rufiventris in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Scythrops novaehollandiae,Channel-billed cuckoo,Please generate a short species bio with some interesting facts about  Scythrops novaehollandiae.,"A photo realistic images of the animal, Scythrops novaehollandiae in it's natural habitat",Y,fail,,,,,,,,,,,,Y
Sericornis frontalis,White-browed scrubwren,Please generate a short species bio with some interesting facts about  Sericornis frontalis.,"A photo realistic images of the animal, Sericornis frontalis in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Sericornis magnirostra,Large-billed scrubwren,Please generate a short species bio with some interesting facts about  Sericornis magnirostra.,"A photo realistic images of the animal, Sericornis magnirostra in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Sericulus chrysocephalus,Regent Bowerbird,Please generate a short species bio with some interesting facts about  Sericulus chrysocephalus.,"A photo realistic images of the animal, Sericulus chrysocephalus in it's natural habitat",Y,Y,,,,,,,,,,,,Y
Smicrornis brevirostris,Weebill,Please generate a short species bio with some interesting facts about  Smicrornis brevirostris.,"A photo realistic images of the animal, Smicrornis brevirostris in it's natural habitat",Y,fail,,,,,,,,,,,,Y
