,sounds,species,latitude,longitude
966,X02796,Vanellus miles,"""-29.4078""","""153.3572"""
967,X00559,Malurus cyaneus,"""-33.1449""","""149.9814"""
968,X02375,Plectorhyncha lanceolata,"""-33.1801""","""150.1256"""
969,X03527,Ptilotula fusca,"""-33.1449""","""149.9814"""
970,X00937,Melithreptus gularis,"""-33.1449""","""149.9814"""
971,X01183,Pachycephala inornata,"""-33.1449""","""149.9814"""
972,X03640,Psophodes olivaceus,"""-29.4079""","""153.3503"""
973,X01359,Oriolus flavocinctus,"""-12.1761""","""132.2409"""
974,X00958,Phylidonyris pyrrhopterus,"""-33.3814""","""149.8849"""
975,X01609,Zosterops lateralis,"""-33.1449""","""149.9814"""
976,X03564,Melithreptus gularis,"""-33.1449""","""149.9814"""
977,X02470,Limnodynastes peronii,"""-33.4123""","""150.0799"""
978,X03387,Anthochaera phrygia,"""-33.0522""","""150.1722"""
979,X00666,Acanthiza pusilla,"""-33.3814""","""149.8849"""
980,X02395,Eopsaltria australis,"""-33.1341""","""150.1358"""
981,X00171,Gryllidae sp.,"""-33.3814""","""149.8849"""
982,X03669,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
983,X03937,Cincloramphus mathewsi,"""-33.1519""","""150.1279"""
984,X00222,Froggattina australis,"""-33.1449""","""149.9814"""
985,X02442,Colluricincla harmonica,"""-33.1801""","""150.1256"""
986,X01176,Falcunculus frontatus,"""-33.1449""","""149.9814"""
987,X03153,Malurus cyaneus,"""-33.1449""","""149.9814"""
988,X03642,Psophodes olivaceus,"""-29.4079""","""153.3503"""
989,X01091,Melanodryas cucullata,"""-33.1449""","""149.9814"""
990,X00422,Platycercus elegans,"""-33.1101""","""150.0567"""
991,X02627,Wallabia bicolor,"""-33.1341""","""150.1358"""
992,X00904,Nesoptilotis leucotis,"""-33.3814""","""149.8849"""
993,X04145,Psophodes nigrogularis,"""-34.8462""","""135.8604"""
994,X04218,Litoria myola,"""-16.8""","""145.6"""
995,X03140,Cormobates leucophaea,"""-33.1171""","""150.1566"""
996,X01676,Menura novaehollandiae,"""-33.3209""","""150.1182"""
997,X01697,Menura novaehollandiae,"""-33.6333""","""150.2906"""
998,X02309,Geopelia placida,"""-33.1449""","""149.9814"""
999,X03715,Rhipidura rufifrons,"""-29.4079""","""153.3503"""
1000,X02445,Dacelo novaeguineae,"""-33.1801""","""150.1256"""
1001,X01299,Myiagra inquieta,"""-33.0522""","""150.1722"""
1002,X01448,Corvus coronoides,"""-33.1449""","""149.9814"""
1003,X01203,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
1004,X01400,Cracticus nigrogularis,"""-33.1449""","""149.9814"""
1005,X01565,Hirundo neoxena,"""-33.3814""","""149.8849"""
1006,X04319,Litoria serrata,"""-16.98053""","""145.63499"""
1007,X02823,Leucosarcia melanoleuca,"""-29.4079""","""153.3503"""
1008,X01341,Rhipidura leucophrys,"""-19.0236""","""138.7097"""
1009,X03782,Cracticus torquatus,"""-33.1341""","""150.1358"""
1010,X00409,Parvipsitta pusilla,"""-33.1449""","""149.9814"""
1011,X02893,Platycercus adscitus,"""-33.1341""","""150.1358"""
1012,X00546,Cormobates leucophaea,"""-33.1449""","""149.9814"""
1013,X02260,Dacelo novaeguineae,"""-33.1341""","""150.1358"""
1014,X01085,Melanodryas cucullata,"""-33.1449""","""149.9814"""
1015,X01145,Eopsaltria australis,"""-25.9667""","""144.9333"""
1016,X02365,Malurus cyaneus,"""-33.1341""","""150.1358"""
1017,X03899,Corvus coronoides,"""-33.1449""","""149.9814"""
1018,X00392,Cacatua galerita,"""-18.7395""","""138.3191"""
1019,X02854,Glossopsitta concinna,"""-33.1449""","""149.9814"""
1020,X02854,Glossopsitta concinna,"""-33.1449""","""149.9814"""
1021,X04187,Uperoleia altissima,"""-17.34231""","""145.41745"""
1022,X00231,Psaltoda plaga,"""-33.1449""","""149.9814"""
1023,X00160,Rhipidura leucophrys,"""-19.0236""","""138.7097"""
1024,X00747,Philemon corniculatus,"""-31.2793""","""148.9895"""
1025,X00923,Ptilotula flavescens,"""-18.2209""","""139.8776"""
1026,X00254,Megapodius reinwardt,"""-12.1761""","""132.2409"""
1027,X02596,Aegotheles cristatus,"""-33.1449""","""149.9814"""
1028,X01319,Rhipidura albiscapa,"""-33.1449""","""149.9814"""
1029,X01754,Menura novaehollandiae,"""-33.2469""","""149.8614"""
1030,X00153,Limnodynastes dumerilii,"""-33.1171""","""150.1566"""
1031,X01549,Dicaeum hirundinaceum,"""-33.1449""","""149.9814"""
1032,X00789,Philemon corniculatus,"""-33.1449""","""149.9814"""
1033,X00241,Atrapsalta encaustica,"""-33.1449""","""149.9814"""
1034,X02261,Psophodes olivaceus,"""-33.1341""","""150.1358"""
1035,X04062,Psophodes nigrogularis,"""-35.151""","""137.0833"""
1036,X00227,Gryllidae sp.,"""-33.1449""","""149.9814"""
1037,X02692,Anthochaera carunculata,"""-33.1341""","""150.1358"""
1038,X04022,Conocephalus upoluensis,"""-33.1449""","""149.9814"""
1039,X04099,Trichosurus vulpecula,"""-33.1449""","""149.9814"""
1040,X03159,Pardalotus punctatus,"""-33.1449""","""149.9814"""
1041,X03946,Zosterops lateralis,"""-33.1449""","""149.9814"""
1042,X01023,Microeca flavigaster,"""-12.1761""","""132.2409"""
1043,X02663,Eopsaltria australis,"""-33.1341""","""150.1358"""
1044,X00156,Litoria caerulea,"""-33.1301""","""150.1398"""
1045,X03145,Climacteris picumnus,"""-33.1341""","""150.1358"""
1046,X02287,Dacelo novaeguineae,"""-33.1341""","""150.1358"""
1047,X03790,Cracticus torquatus,"""-33.1449""","""149.9814"""
1048,X02631,Philemon corniculatus,"""-33.1341""","""150.1358"""
1049,X02799,Phaps chalcoptera,"""-33.1449""","""149.9814"""
1050,X04267,Litoria serrata,"""-16.95198""","""145.61961"""
1051,X00192,Gryllidae sp.,"""-33.1449""","""149.9814"""
1052,X03634,Pomatostomus superciliosus,"""-33.1449""","""149.9814"""
1053,X01211,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
1054,X00645,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
1055,X00632,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
1056,X01814,Limnodynastes peronii,"""-33.3814""","""149.885"""
1057,X03621,Eopsaltria australis,"""-33.1449""","""149.9814"""
1058,X01378,Artamus cinereus,"""-18.6712""","""139.2359"""
1059,X03811,Cracticus nigrogularis,"""-33.1449""","""149.9814"""
1060,X03811,Cracticus nigrogularis,"""-33.1449""","""149.9814"""
1061,X00591,Pardalotus striatus,"""-31.7243""","""116.0778"""
1062,X03248,Acanthiza pusilla,"""-33.1449""","""149.9814"""
1063,X02965,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
1064,X00357,Geopelia humeralis,"""-17.7668""","""141.1166"""
1065,X02508,Strepera graculina,"""-33.1341""","""150.1358"""
1066,X02499,Strepera graculina,"""-33.1171""","""150.1566"""
1067,X01329,Rhipidura leucophrys,"""-33.1449""","""149.9814"""
1068,X01293,Myiagra inquieta,"""-33.1449""","""149.9814"""
1069,X04268,Litoria serrata,"""-16.95198""","""145.61961"""
1070,X00683,Acanthiza reguloides,"""-33.1107""","""150.0567"""
1071,X03858,Strepera graculina,"""-33.1449""","""149.9814"""
1072,X03321,Philemon corniculatus,"""-30.4511""","""151.2195"""
1073,X04261,Litoria serrata,"""-16.95198""","""145.61961"""
1074,X01774,Menura alberti,"""-28.4589""","""153.1341"""
1075,X00985,Microeca fascinans,"""-33.1449""","""149.9814"""
1076,X03888,Corvus coronoides,"""-33.1449""","""149.9814"""
1077,X02207,Oriolus sagittatus,"""-33.1449""","""149.9814"""
1078,X02220,Hirundo neoxena,"""-33.1341""","""150.1358"""
1079,X00992,Microeca fascinans,"""-33.1449""","""149.9814"""
1080,X01287,Myiagra cyanoleuca,"""-33.1101""","""150.0567"""
1081,X01507,Stizoptera bichenovii,"""-33.1449""","""149.9814"""
1082,X00177,Gryllotalpidae sp.,"""-33.1449""","""149.9814"""
1083,X03684,Colluricincla harmonica,"""-33.1341""","""150.1358"""
1084,X03278,Anthochaera carunculata,"""-33.1341""","""150.1358"""
1085,X00309,Gallinula tenebrosa,"""-18.7395""","""138.3191"""
1086,X02673,Anthochaera carunculata,"""-33.1449""","""149.9814"""
1087,X03061,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1088,X04273,Litoria serrata,"""-16.96921""","""145.62697"""
1089,X02565,Callocephalon fimbriatum,"""-33.13""","""150.14"""
1090,X01212,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
1091,X02307,Ptilotula penicillata,"""-33.1449""","""149.9814"""
1092,X02877,Platycercus elegans,"""-33.1519""","""150.1279"""
1093,X02623,Philemon corniculatus,"""-33.1801""","""150.1256"""
1094,X04157,Psophodes nigrogularis,"""-34.9072""","""135.6845"""
1095,X00340,Phaps chalcoptera,"""-33.1449""","""149.9814"""
1096,X03931,Petrochelidon ariel,"""-33.1341""","""150.1358"""
1097,X02678,Myiagra inquieta,"""-33.1449""","""149.9814"""
1098,X02190,Cracticus torquatus,"""-33.1341""","""150.1358"""
1099,X02482,Strepera graculina,"""-33.1341""","""150.1358"""
1100,X03771,Cracticus torquatus,"""-33.1449""","""149.9814"""
1101,X03127,Menura novaehollandiae,"""-33.4579""","""149.8433"""
1102,X03496,Caligavis chrysops,"""-33.1449""","""149.9814"""
1103,X04279,Litoria serrata,"""-16.96921""","""145.62697"""
1104,X01566,Hirundo neoxena,"""-33.1449""","""149.9814"""
1105,X04269,Litoria serrata,"""-16.95198""","""145.61961"""
1106,X03139,Cormobates leucophaea,"""-33.1341""","""150.1358"""
1107,X03055,Todiramphus sanctus,"""-33.1171""","""150.1566"""
1108,X01716,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1109,X00366,Calyptorhynchus banksii,"""-14.9231""","""133.1341"""
1110,X02468,Malurus cyaneus,"""-33.4123""","""150.0799"""
1111,X01096,Melanodryas cucullata,"""-33.1449""","""149.9814"""
1112,X02761,Chenonetta jubata,"""-33.1171""","""150.1566"""
1113,X01273,Myiagra rubecula,"""-33.1449""","""149.9814"""
1114,X03550,Ptilotula penicillata,"""-33.1384""","""150.1269"""
1115,X00288,Haliastur sphenurus,"""-13.8889""","""132.7813"""
1116,X00143,Uperoleia laevigata,"""-33.1171""","""150.1566"""
1117,X02802,Phaps elegans,"""-33.1449""","""149.9814"""
1118,X02942,Ninox boobook,"""-33.1449""","""149.9814"""
1119,X00808,Philemon corniculatus,"""-29.1553""","""153.4137"""
1120,X03721,Rhipidura albiscapa,"""-33.1449""","""149.9814"""
1121,X01250,Colluricincla harmonica,"""-33.3814""","""149.8849"""
1122,X03645,Psophodes olivaceus,"""-29.4079""","""153.3503"""
1123,X04314,Litoria serrata,"""-16.93669""","""145.61621"""
1124,X00874,Manorina melanocephala,"""-28.0731""","""153.4439"""
1125,X03060,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1126,X01530,Neochmia temporalis,"""-33.3814""","""149.8849"""
1127,X01686,Menura novaehollandiae,"""-33.2469""","""149.8614"""
1128,X00106,Limnodynastes dumerilii,"""-33.3814""","""149.885"""
1129,X03659,Pachycephala rufiventris,"""-33.1341""","""150.1358"""
1130,X00712,Anthochaera carunculata,"""-33.3814""","""149.8849"""
1131,X03700,Colluricincla harmonica,"""-33.1801""","""150.1256"""
1132,X01413,Gymnorhina tibicen,"""-33.1449""","""149.9814"""
1133,X02488,Eopsaltria australis,"""-33.1341""","""150.1358"""
1134,X01588,Acrocephalus australis,"""-33.1449""","""149.9814"""
1135,X00571,Pardalotus punctatus,"""-33.1449""","""149.9814"""
1136,X02409,Rhipidura leucophrys,"""-33.1341""","""150.1358"""
1137,X01476,Ptilonorhynchus violaceus,"""-33.3814""","""149.8849"""
1138,X00301,Falco berigora,"""-33.1449""","""149.9814"""
1139,X00226,Gryllidae sp.,"""-33.1449""","""149.9814"""
1140,X01318,Rhipidura albiscapa,"""-33.1449""","""149.9814"""
1141,X04096,Trichosurus vulpecula,"""-33.1449""","""149.9814"""
1142,X02182,Corvus coronoides,"""-33.1341""","""150.1358"""
1143,X00796,Philemon corniculatus,"""-33.1449""","""149.9814"""
1144,X03618,Eopsaltria australis,"""-30.4511""","""151.2195"""
1145,X03185,Pyrrholaemus sagittata,"""-33.1341""","""150.1358"""
1146,X03556,Ptilotula penicillata,"""-33.0464""","""150.2199"""
1147,X03211,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
1148,X00174,Gryllidae sp.,"""-33.3814""","""149.8849"""
1149,X00791,Philemon corniculatus,"""-33.1449""","""149.9814"""
1150,X00778,Philemon corniculatus,"""-33.1449""","""149.9814"""
1151,X03802,Cracticus nigrogularis,"""-33.1341""","""150.1358"""
1152,X01767,Menura novaehollandiae,"""-33.1738""","""149.9977"""
1153,X03126,Menura novaehollandiae,"""-33.4579""","""149.8433"""
1154,X04033,Apocrita sp.,"""-33.1449""","""149.9814"""
1155,X00703,Acanthiza nana,"""-33.1449""","""149.9814"""
1156,X00977,Myzomela sanguinolenta,"""-33.1171""","""150.1566"""
1157,X04291,Litoria serrata,"""-16.96921""","""145.62697"""
1158,X02447,Cincloramphus mathewsi,"""-33.1801""","""150.1256"""
1159,X01392,Cracticus nigrogularis,"""-18.7395""","""138.3191"""
1160,X00451,Heteroscenes pallidus,"""-24.2004""","""132.8231"""
1161,X00469,Cacomantis flabelliformis,"""-33.1449""","""149.9814"""
1162,X01710,Menura novaehollandiae,"""-33.2737""","""149.8365"""
1163,X00906,Nesoptilotis leucotis,"""-33.3814""","""149.8849"""
1164,X00878,Meliphaga lewinii,"""-29.1141""","""153.4279"""
1165,X02940,Ninox boobook,"""-33.1449""","""149.9814"""
1166,X03441,Anthochaera phrygia,"""-33.1384""","""150.1269"""
1167,X02088,Cormobates leucophaea,"""-33.1449""","""149.9814"""
1168,X01831,Limnodynastes tasmaniensis,"""-33.3814""","""149.885"""
1169,X04259,Litoria serrata,"""-16.95198""","""145.61961"""
1170,X03385,Anthochaera phrygia,"""-33.0522""","""150.1722"""
1171,X02835,Cacatua sanguinea,"""-33.0464""","""150.2199"""
1172,X00318,Fulica atra,"""-33.1449""","""149.9814"""
1173,X03009,Aegotheles cristatus,"""-33.1449""","""149.9814"""
1174,X03295,Anthochaera carunculata,"""-33.1341""","""150.1358"""
1175,X02819,Geopelia placida,"""-33.1801""","""150.1256"""
1176,X03017,Aegotheles cristatus,"""-33.1449""","""149.9814"""
1177,X01550,Dicaeum hirundinaceum,"""-33.1449""","""149.9814"""
1178,X04301,Litoria serrata,"""-16.93669""","""145.61621"""
1179,X03067,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1180,X03999,Gryllidae sp.,"""-33.1449""","""149.9814"""
1181,X03751,Oriolus sagittatus,"""-33.1171""","""150.1566"""
1182,X03062,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1183,X00807,Philemon corniculatus,"""-28.5324""","""153.5526"""
1184,X04194,Cophixalus ornatus,"""-17.79163""","""145.54537"""
1185,X00169,Gryllidae sp.,"""-33.3814""","""149.8849"""
1186,X03005,Aegotheles cristatus,"""-33.1449""","""149.9814"""
1187,X03085,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1188,X01136,Pomatostomus temporalis,"""-14.9265""","""133.1189"""
1189,X02406,Rhipidura albiscapa,"""-33.1341""","""150.1358"""
1190,X04041,Microchiroptera sp.,"""-33.3814""","""149.8849"""
1191,X01778,Menura alberti,"""-28.4589""","""153.1341"""
1192,X00834,Anthochaera phrygia,"""-33.1449""","""149.9814"""
1193,X03403,Anthochaera phrygia,"""-30.4511""","""151.2195"""
1194,X01535,Stagonopleura guttata,"""-33.1449""","""149.9814"""
1195,X04166,Psophodes nigrogularis,"""-35.1591""","""137.0711"""
1196,X01160,Cinclosoma punctatum,"""-33.1101""","""150.0567"""
1197,X00980,Myzomela sanguinolenta,"""-33.1449""","""149.9814"""
1198,X03910,Corcorax melanorhamphos,"""-33.1801""","""150.1256"""
1199,X02699,Strepera graculina,"""-28.0911""","""153.4549"""
1200,X01791,Limnodynastes peronii,"""-33.3814""","""149.885"""
1201,X03709,Myiagra inquieta,"""-33.1449""","""149.9814"""
1202,X00675,Acanthiza apicalis,"""-24.2004""","""132.8231"""
1203,X03524,Ptilotula fusca,"""-33.1449""","""149.9814"""
1204,X02318,Colluricincla harmonica,"""-33.1341""","""150.1358"""
1205,X03484,Meliphaga lewinii,"""-29.4079""","""153.3503"""
1206,X03989,Gryllidae sp.,"""-33.1341""","""150.1358"""
1207,X03023,Aegotheles cristatus,"""-33.1449""","""149.9814"""
1208,X03458,Anthochaera phrygia,"""-33.0522""","""150.1722"""
1209,X03612,Melanodryas cucullata,"""-33.1519""","""150.1279"""
1210,X00587,Pardalotus striatus,"""-33.1449""","""149.9814"""
1211,X02477,Philemon corniculatus,"""-33.1341""","""150.1358"""
1212,X01075,Petroica phoenicea,"""-33.3814""","""149.8849"""
1213,X03076,Menura novaehollandiae,"""-33.1107""","""150.0567"""
1214,X03217,Smicrornis brevirostris,"""-33.1449""","""149.9814"""
1215,X00854,Anthochaera phrygia,"""-33.1449""","""149.9814"""
1216,X01397,Cracticus nigrogularis,"""-24.2004""","""132.8231"""
1217,X02085,Wallabia bicolor,"""-33.1449""","""149.9814"""
1218,X02430,Eopsaltria australis,"""-33.1341""","""150.1358"""
1219,X02145,Tachybaptus novaehollandiae,"""-33.1449""","""149.9814"""
1220,X04010,Froggattina australis,"""-33.1341""","""150.1358"""
1221,X04012,Froggattina australis,"""-33.1341""","""150.1358"""
1222,X01261,Colluricincla harmonica,"""-33.1449""","""149.9814"""
1223,X00890,Caligavis chrysops,"""-33.1101""","""150.0567"""
1224,X02143,Malurus cyaneus,"""-33.1449""","""149.9814"""
1225,X01288,Myiagra cyanoleuca,"""-33.1101""","""150.0567"""
1226,X02554,Cincloramphus mathewsi,"""-33.1449""","""149.9814"""
1227,X01496,Taeniopygia guttata,"""-33.1449""","""149.9814"""
1228,X02185,Melithreptus lunatus,"""-33.1341""","""150.1358"""
1229,X00991,Microeca fascinans,"""-33.1449""","""149.9814"""
1230,X01714,Menura novaehollandiae,"""-33.3985""","""149.7846"""
1231,X01667,Menura novaehollandiae,"""-33.2236""","""150.0456"""
1232,X01654,Menura novaehollandiae,"""-33.5902""","""150.2554"""
1233,X01781,Gallinula tenebrosa,"""-33.1449""","""149.9814"""
1234,X00313,Gallinula tenebrosa,"""-33.1449""","""149.9814"""
1235,X03534,Ptilotula fusca,"""-33.1449""","""149.9814"""
1236,X02818,Geopelia placida,"""-33.1801""","""150.1256"""
1237,X01143,Pomatostomus superciliosus,"""-33.1449""","""149.9814"""
1238,X00861,Entomyzon cyanotis,"""-12.6729""","""130.9501"""
1239,X03845,Gymnorhina tibicen,"""-29.4079""","""153.3503"""
1240,X04143,Psophodes nigrogularis,"""-34.9169""","""135.6799"""
1241,X02667,Colluricincla harmonica,"""-33.1341""","""150.1358"""
1242,X01062,Petroica goodenovii,"""-33.1449""","""149.9814"""
1243,X02569,Platyplectrum ornatum,"""-33.1449""","""149.9814"""
1244,X02651,Cincloramphus mathewsi,"""-33.1449""","""149.9814"""
1245,X03187,Pyrrholaemus sagittata,"""-33.1341""","""150.1358"""
1246,X01109,Eopsaltria australis,"""-33.3814""","""149.8849"""
1247,X03756,Sphecotheres vieilloti,"""-29.4079""","""153.3503"""
1248,X02664,Pachycephala rufiventris,"""-33.1341""","""150.1358"""
1249,X00764,Philemon corniculatus,"""-33.1449""","""149.9814"""
1250,X02571,Platyplectrum ornatum,"""-33.1449""","""149.9814"""
1251,X02358,Colluricincla harmonica,"""-33.1171""","""150.1566"""
1252,X00518,Dacelo novaeguineae,"""-33.1107""","""150.0567"""
1253,X00903,Stomiopera unicolor,"""-19.0236""","""138.7097"""
1254,X03632,Pomatostomus superciliosus,"""-33.1449""","""149.9814"""
1255,X00940,Melithreptus brevirostris,"""-33.3814""","""149.8849"""
1256,X02285,Malurus cyaneus,"""-33.1341""","""150.1358"""
1257,X01836,Crinia signifera,"""-33.1301""","""150.1398"""
1258,X03859,Strepera graculina,"""-33.1449""","""149.9814"""
1259,X03749,Oriolus sagittatus,"""-33.1449""","""149.9814"""
1260,X00597,Pycnoptilus floccosus,"""-32.8405""","""150.3575"""
1261,X03610,Petroica rosea,"""-33.1449""","""149.9814"""
1262,X00523,Dacelo leachii,"""-16.1134""","""130.4233"""
1263,X03166,Pardalotus punctatus,"""-33.1171""","""150.1566"""
1264,X02290,Philemon corniculatus,"""-33.1341""","""150.1358"""
1265,X01350,Coracina papuensis,"""-33.1449""","""149.9814"""
1266,X03286,Anthochaera carunculata,"""-33.1341""","""150.1358"""
1267,X03309,Philemon corniculatus,"""-33.1449""","""149.9814"""
1268,X02967,Eurostopodus mystacalis,"""-33.1449""","""149.9814"""
1269,X00718,Anthochaera chrysoptera,"""-29.1141""","""153.4279"""
1270,X00918,Ptilotula fusca,"""-33.1449""","""149.9814"""
1271,X03787,Cracticus torquatus,"""-33.1341""","""150.1358"""
1272,X01367,Oriolus sagittatus,"""-33.1449""","""149.9814"""
1273,X01477,Chlamydera guttata,"""-24.2004""","""132.8231"""
1274,X00407,Parvipsitta pusilla,"""-33.1449""","""149.9814"""
1275,X02770,Egretta novaehollandiae,"""-33.1449""","""149.9814"""
1276,X00419,Platycercus elegans,"""-33.3814""","""149.8849"""
1277,X01325,Rhipidura rufiventris,"""-12.6539""","""131.7142"""
1278,X01423,Gymnorhina tibicen,"""-33.3814""","""149.8849"""
1279,X02481,Pachycephala rufiventris,"""-33.1341""","""150.1358"""
1280,X00345,Geophaps plumifera,"""-24.2004""","""132.8231"""
1281,X04054,Pteropus scapulatus,"""-33.1449""","""149.9814"""
1282,X01728,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1283,X02163,Grallina cyanoleuca,"""-30.6411""","""151.5007"""
1284,X02186,Acanthiza nana,"""-33.1341""","""150.1358"""
1285,X04142,Psophodes nigrogularis,"""-34.9169""","""135.6799"""
1286,X01645,Menura novaehollandiae,"""-33.3231""","""150.2457"""
1287,X03348,Philemon corniculatus,"""-33.1449""","""149.9814"""
1288,X01493,Taeniopygia guttata,"""-33.1449""","""149.9814"""
1289,X00500,Centropus phasianinus,"""-16.1134""","""130.4233"""
1290,X02195,Limnodynastes dumerilii,"""-33.1171""","""150.1566"""
1291,X01845,Geopelia placida,"""-33.1449""","""149.9814"""
1292,X03738,Rhipidura leucophrys,"""-33.1171""","""150.1566"""
1293,X02813,Ocyphaps lophotes,"""-33.1449""","""149.9814"""
1294,X03411,Anthochaera phrygia,"""-30.4511""","""151.2195"""
1295,X01827,Litoria peronii,"""-33.1171""","""150.1566"""
1296,X02247,Manorina melanocephala,"""-33.1341""","""150.1358"""
1297,X02609,Dacelo novaeguineae,"""-33.1449""","""149.9814"""
1298,X02297,Crinia signifera,"""-33.1171""","""150.1566"""
1299,X02928,Psophodes nigrogularis,"""-35.1599""","""137.0719"""
1300,X02928,Psophodes nigrogularis,"""-35.1599""","""137.0719"""
1301,X03566,Melithreptus gularis,"""-33.1449""","""149.9814"""
1302,X02703,Osphranter robustus,"""-33.1449""","""149.9814"""
1303,X04180,Psophodes nigrogularis,"""-35.0""","""118.2"""
1304,X01702,Menura novaehollandiae,"""-33.2976""","""149.8087"""
1305,X00530,Todiramphus sanctus,"""-33.3814""","""149.8849"""
1306,X04060,Pteropus scapulatus,"""-33.1449""","""149.9814"""
1307,X04192,Litoria gracilenta,"""-16.93868""","""145.6106"""
1308,X02511,Rhipidura albiscapa,"""-33.1341""","""150.1358"""
1309,X01116,Eopsaltria australis,"""-33.1449""","""149.9814"""
1310,X02630,Anthochaera carunculata,"""-33.1341""","""150.1358"""
1311,X02641,Gerygone mouki,"""-29.4079""","""153.3503"""
1312,X04049,Microchiroptera sp.,"""-33.1449""","""149.9814"""
1313,X02529,Dicrurus bracteatus,"""-29.4079""","""153.3503"""
1314,X04333,Litoria serrata,"""-16.98053""","""145.63499"""
1315,X01779,Menura alberti,"""-28.4589""","""153.1341"""
1316,X01515,Aidemosyne modesta,"""-33.1449""","""149.9814"""
1317,X01636,Menura novaehollandiae,"""-33.3089""","""149.9305"""
1318,X01396,Cracticus nigrogularis,"""-13.3126""","""132.4231"""
1319,X01147,Eopsaltria australis,"""-28.6333""","""153.0333"""
1320,X01841,Eurostopodus argus,"""-33.1449""","""149.9814"""
1321,X03255,Acanthiza reguloides,"""-33.1449""","""149.9814"""
1322,X02545,Gymnorhina tibicen,"""-33.1449""","""149.9814"""
1323,X02750,Litoria caerulea,"""-33.1449""","""149.9814"""
1324,X01213,Pachycephala rufiventris,"""-33.1449""","""149.9814"""
1325,X03298,Anthochaera chrysoptera,"""-29.4079""","""153.3503"""
1326,X02909,Cacomantis flabelliformis,"""-33.1171""","""150.1566"""
1327,X02523,Symposiachrus trivirgatus,"""-29.4079""","""153.3503"""
1328,X02270,Gymnorhina tibicen,"""-33.1171""","""150.1566"""
1329,X02394,Cracticus torquatus,"""-33.1341""","""150.1358"""
1330,X00224,Iridomyrmex purpureus,"""-33.1449""","""149.9814"""
1331,X03686,Colluricincla harmonica,"""-33.1449""","""149.9814"""
1332,X01610,Zosterops lateralis,"""-33.1449""","""149.9814"""
1333,X04055,Pteropus scapulatus,"""-33.1171""","""150.1566"""
1334,X04031,Phaneropterinae sp.,"""-33.1449""","""149.9814"""
1335,X03064,Menura novaehollandiae,"""-33.1101""","""150.0567"""
1336,X03547,Ptilotula penicillata,"""-33.0522""","""150.1722"""
1337,X04106,Psophodes nigrogularis,"""-34.8508""","""135.9532"""
1338,X04302,Litoria serrata,"""-16.93669""","""145.61621"""
1339,X00105,Malacostraca sp.,"""-12.1761""","""132.2409"""
1340,X02648,Corvus coronoides,"""-33.1449""","""149.9814"""
1341,X00978,Myzomela sanguinolenta,"""-33.1171""","""150.1566"""
1342,X01224,Colluricincla woodwardi,"""-13.4935""","""132.5857"""
1343,X04161,Psophodes nigrogularis,"""-35.1598""","""137.0725"""
1344,X00619,Hylacola pyrrhopygia,"""-33.1107""","""150.0567"""
1345,X01633,Turdus merula,"""-33.3814""","""149.8849"""
1346,X03384,Anthochaera phrygia,"""-33.0522""","""150.1722"""
1347,X02498,Philemon corniculatus,"""-33.1171""","""150.1566"""
1348,X01131,Poecilodryas superciliosa,"""-18.7395""","""138.3191"""
1349,X03154,Malurus cyaneus,"""-33.1449""","""149.9814"""
1350,X03836,Gymnorhina tibicen,"""-33.1449""","""149.9814"""
1351,X00247,Henicopsaltria eydouxii,"""-33.1449""","""149.9814"""
1352,X03752,Oriolus sagittatus,"""-33.1449""","""149.9814"""
1353,X00754,Philemon corniculatus,"""-33.1449""","""149.9814"""
1354,X02762,Synoicus ypsilophora,"""-33.1449""","""149.9814"""
1355,X00486,Chalcites basalis,"""-33.1449""","""149.9814"""
1356,X03283,Anthochaera carunculata,"""-33.1341""","""150.1358"""
1357,X03319,Philemon corniculatus,"""-33.1801""","""150.1256"""
1358,X03636,Psophodes olivaceus,"""-33.1171""","""150.1566"""
1359,X01351,Edolisoma tenuirostre,"""-33.1449""","""149.9814"""
1360,X01351,Edolisoma tenuirostre,"""-33.1449""","""149.9814"""
1361,X02675,Artamus superciliosus,"""-33.1341""","""150.1358"""
1362,X03019,Aegotheles cristatus,"""-33.1449""","""149.9814"""
1363,X00836,Anthochaera phrygia,"""-33.1449""","""149.9814"""
1364,X01257,Colluricincla harmonica,"""-33.3814""","""149.8849"""
1365,X00220,Caelifera sp.,"""-33.1449""","""149.9814"""
1366,X01167,Daphoenositta chrysoptera,"""-33.1449""","""149.9814"""
1367,X01579,Petrochelidon ariel,"""-33.1449""","""149.9814"""
1368,X02739,Litoria caerulea,"""-33.1449""","""149.9814"""
